Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;Cart 07-01-2021 ;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
8T-9655;8;;1901;Mount-Isolation;188-1758;Control & Mtg GP-Engine Elek;CCR TU&EL
5L-3708;2;;1901;Stud-Taperlock;188-1758;Control & Mtg GP-Engine Elek;CCR TU&EL
9M-1974;6;;1901;Washer-Hard;188-1758;Control & Mtg GP-Engine Elek;CCR TU&EL
9N-0869;8;;1901;Washer-Hard;188-1758;Control & Mtg GP-Engine Elek;CCR TU&EL
4N-0699;1;;1201;Gasket;107-6736;Cover GP-Cylinder Block;CCR DESAR
126-4935;1;;1201;Seal-Integral;140-9746;Cover GP-Cylinder Block;CCR DESAR
297-1813;12;;1151;Screw-Head;159-6159;Cover GP-Front Housing;CCR DESAR
160-7271;1;;1151;Seal;159-6159;Cover GP-Front Housing;CCR DESAR
031-4155;2;;1151;Locknut;159-6159;Cover GP-Front Housing;CCR DESAR
238-5078;2;;1151;Seal-O-Ring;159-6159;Cover GP-Front Housing;CCR DESAR
242-9537;1;;1107;Seal-Valve Cover;150-3135;Cover GP-Valve Mechanism;CCR DESAR
243-1159;6;;1107;Fastener AS;150-3135;Cover GP-Valve Mechanism;CCR DESAR
149-7378;1;;1107;Grommet;150-3135;Cover GP-Valve Mechanism;CCR DESAR
242-9537;2;;1107;Seal-Valve Cover;187-1326;Cover GP-Valve Mechanism;CCR DESAR
243-1159;6;;1107;Fastener AS;187-1326;Cover GP-Valve Mechanism;CCR DESAR
149-7378;1;;1107;Grommet;187-1326;Cover GP-Valve Mechanism;CCR DESAR
143-8971;1;;1207;Bearing-Drive;234-9774;Drive GP-Accessory;CCR DESAR
8T-4223;3;;1207;Washer-Hard;234-9774;Drive GP-Accessory;CCR DESAR
144-6142;1;;1207;Seal-Integral;234-9774;Drive GP-Accessory;CCR DESAR
101-6596;1;;1207;Hose AS;234-9774;Drive GP-Accessory;CCR DESAR
6V-5048;2;;1207;Seal-O-Ring;234-9774;Drive GP-Accessory;CCR DESAR
9M-1974;8;;1207;Washer-Hard;234-9774;Drive GP-Accessory;CCR DESAR
9M-1974;8;;1207;Washer-Hard;206-4227;Drive GP-Accessory;CCR DESAR
101-6596;1;;1207;Hose AS;206-4227;Drive GP-Accessory;CCR DESAR
506-9239;1;;1207;Bearing-Drive;206-4227;Drive GP-Accessory;CCR DESAR
