Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;r120ca32BW;;10R6702 - 1755289;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
418-7812;1;;1803;GASKET;113-8193;;CCR BBA
5F-5434;1;;1803;VALVE AS-VENT (AIR COMPRESSOR);113-8193;;CCR BBA
6L-1883;1;;1803;GASKET (GOVERNOR);113-8193;;CCR BBA
152-1005;1;;1803;HOSE AS;119-6321;;CCR BBA
485-9355;1;;1803;HOSE AS;119-6321;;CCR BBA
7W-9834;1;;1803;VALVE-REGULATOR (COMPRESSOR);119-6321;;CCR BBA
8M-7065;1;;1803;GASKET (AIR INLET);119-6321;;CCR BBA
235-3546;1;;1361;SEAL-O-RING;317-5901;;CCR BBA
6V-3348;1;;1361;SEAL-O-RING;317-5901;;CCR BBA
3P-6061;1;;1361;GASKET;317-5901;;CCR BBA
4F-7387;1;;1361;SEAL-O-RING;317-5901;;CCR BBA
5N-1940;1;;1361;GASKET;317-5901;;CCR BBA
149-5462;1;;1361;SEAL-O-RING;375-3658;;CCR BBA
5H-6734;1;;1361;SEAL-O-RING;375-3658;;CCR BBA
298-6387;1;;1304;SEAL-O-RING;375-7412;;CCR BBA
9M-4355;3;;1304;DAMPER-BOLT;375-7412;;CCR BBA
6V-3908;1;;1307;SEAL-O-RING;381-8703;;CCR BBA
2W-0752;1;;1201;GASKET;119-6292;;CCR BLK
7N-4945;3;;1201;GASKET;119-6292;;CCR BLK
228-7090;1;;1201;SEAL-O-RING;119-6292;;CCR BLK
272-0758;16;;1201;SEAL;119-6292;;CCR BLK
272-0759;16;;1201;SEAL;119-6292;;CCR BLK
230-1072;2;;1380;GASKET;230-1089;;CCR BLK
569-7728;1;;1160;SEAL (CLOCKWISE ROTATION);332-7911;;CCR BLK
569-7729;1;;1160;SEAL (COUNTERCLOCKWISE ROTATION);332-7911;;CCR BLK
8T-2928;4;;1201;SEAL-O-RING;350-1417;;CCR BLK
8T-2929;4;;1201;SEAL-O-RING;350-1417;;CCR BLK
214-7568;6;;1201;SEAL-O-RING;350-5223;;CCR BLK
6V-3348;8;;1201;SEAL-O-RING;350-5223;;CCR BLK
101-1198;18;;1201;BEARING-CAMSHAFT;350-5223;;CCR BLK
5F-9657;4;;1201;SEAL-O-RING;350-5223;;CCR BLK
5P-8210;2;;1201;SEAL-O-RING;350-5223;;CCR BLK
7X-4805;3;;1201;SEAL-O-RING;350-5223;;CCR BLK
6B-9202;2;;1307;SPRING;381-8703;;CCR BLK
7N-7697;2;;1307;PLUNGER AS;381-8703;;CCR BLK
7C-6209;2;;1202;PLATE-THRUST;463-5343;;CCR BLK
7N-3368;2;;1380;GASKET;524-5882;;CCR BLK
6N-1604;4;;1383;CAP AS-DUST;7E-6713;;CCR BLK
6V-5050;4;;1383;SEAL-O-RING;7E-6713;;CCR BLK
108-1434;2;;1803;GROMMET;119-6321;;CCR DESAR
101-6605;1;;1803;HOSE AS;119-6321;;CCR DESAR
109-2332;2;;1306;SEAL-O-RING;123-6884;;CCR DESAR
361-7097;1;;1306;RING;123-6884;;CCR DESAR
100-3237;16;;1274;GROMMET;156-9755;;CCR DESAR
147-3745;8;;1274;WASHER-RETAINING;156-9755;;CCR DESAR
100-3237;16;;1274;GROMMET;156-9756;;CCR DESAR
147-3745;8;;1274;WASHER-RETAINING;156-9756;;CCR DESAR
103-0892;1;;1380;GROMMET;160-9849;;CCR DESAR
110-0096;2;;1380;RING;160-9849;;CCR DESAR
3J-1907;1;;1380;SEAL-O-RING;160-9849;;CCR DESAR
6V-5066;7;;1380;SEAL-O-RING;160-9849;;CCR DESAR
7N-4945;1;;1380;GASKET;160-9849;;CCR DESAR
005-7889;2;;1380;VALVE AS-DRAIN (WATER LINES);160-9849;;CCR DESAR
153-7466;1;;1380;HOSE AS;160-9849;;CCR DESAR
4N-1320;1;;1380;GASKET (ADAPTER);160-9849;;CCR DESAR
7N-4932;2;;1380;GASKET;160-9849;;CCR DESAR
154-9025;2;;1380;VALVE-SAMPLING (COOLANT);163-2596;;CCR DESAR
157-0670;2;;1380;CAP-DUST;163-2596;;CCR DESAR
3B-7764;1;;1380;BUSHING (REDUCING);163-2596;;CCR DESAR
108-1434;14;;1252;GROMMET;220-6136;;CCR DESAR
214-7568;32;;1252;SEAL-O-RING;220-6136;;CCR DESAR
238-5080;1;;1252;SEAL-O-RING;220-6136;;CCR DESAR
238-5081;7;;1252;SEAL-O-RING;220-6136;;CCR DESAR
420-1795;1;;1252;VALVE GP-CHECK (FUEL)(FUEL);220-6136;;CCR DESAR
114-5477;1;;1252;PLUNGER-VALVE;220-6136;;CCR DESAR
214-7566;1;;1252;SEAL-O-RING;220-6136;;CCR DESAR
353-7952;2;;1252;GROMMET;220-6136;;CCR DESAR
492-6560;1;;1252;HOSE AS;220-6136;;CCR DESAR
492-6561;1;;1252;HOSE AS;220-6136;;CCR DESAR
7N-6806;4;;1252;SEAL-RECTANGULAR;220-6136;;CCR DESAR
9N-4053;1;;1252;SPRING;220-6136;;CCR DESAR
5P-0840;32;;1201;SEAL-O-RING;350-5223;;CCR DESAR
223-9132;1;;1258;HOSE AS;360-8100;;CCR DESAR
360-5472;1;;1258;HOSE AS;360-8100;;CCR DESAR
109-2332;5;;1307;SEAL-O-RING;381-8703;;CCR DESAR
111-3820;1;;1307;RING-RETAINING;381-8703;;CCR DESAR
