Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;217-7092 _ ADZ_2;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
6V-9027;2;;1063;Seal-O-Ring;108-1581;Aftercooler GP-Treated Water;CCR EN&CA
107-3758;2;;1063;Seal;108-1581;Aftercooler GP-Treated Water;CCR EN&CA
7C-9770;2;;1051;Gasket;112-6067;Air Cleaner GP;CCR EN.CLT
9M-2151;20;;1051;Stud-Taperlock;112-6067;Air Cleaner GP;CCR EN.CLT
2K-4973;20;;1051;Locknut;112-6067;Air Cleaner GP;CCR EN.CLT
2M-5173;8;;1051;Seal-O-Ring;112-6067;Air Cleaner GP;CCR EN.CLT
7X-2634;4;;1051;Seal;123-6854;Air Cleaner GP;CCR EN.CLT
123-6855;2;;1051;Filter Element AS-Air;123-6854;Air Cleaner GP;CCR EN.CLT
123-6856;2;;1051;Filter Element AS-Air;123-6854;Air Cleaner GP;CCR EN.CLT
7M-1674;1;;1087;Screen-Air Cleaner Inlet;135-3103;Support GP-Air Inlet;CCR EN.CLT
7M-1674;1;;1087;Screen-Air Cleaner Inlet;135-3104;Support GP-Air Inlet;CCR EN.CLT
132-3071;1;;1405;Seal;496-3451;Alternator GP-Charging;CCR DIST
235-2484;1;;1405;Seal-Lip Type;496-3451;Alternator GP-Charging;CCR DIST
465-2689;1;;1405;Seal-Wear Sleeve;496-3451;Alternator GP-Charging;CCR DIST
374-8484;1;;1405;Belt-Serpentine;496-3451;Alternator GP-Charging;CCR DIST
3K-2889;1;;1405;Locknut;496-3451;Alternator GP-Charging;CCR DIST
6V-6633;1;;1405;Bolt;496-3451;Alternator GP-Charging;CCR DIST
101-1365;1;;1220;Plate-Thrust;101-0833;Balancer GP;CCR DIST
7N-6983;1;;1220;Bushing;101-0833;Balancer GP;CCR DIST
4W-3027;2;;1317;Breather AS;394-8137;Breather GP;CCR M&B
4W-3034;2;;1317;Clamp-Hose;394-8137;Breather GP;CCR M&B
217-6692;1;;1317;Hose-Tee;394-8137;Breather GP;CCR M&B
033-6031;2;;1317;Seal-O-Ring;394-8137;Breather GP;CCR M&B
5P-0597;2;;1317;Clamp-Hose;394-8137;Breather GP;CCR M&B
7N-3218;2;;1210;Washer-Thrust;106-4582;Camshaft GP;CCR BLOCK
8N-9885;1;;1802;Gasket-Cover;170-1138;Compressor & Mtg GP-Refrig;CCR DIST
289-2033;1;;1802;Belt Tensioner;170-1138;Compressor & Mtg GP-Refrig;CCR DIST
186-4195;1;;1802;Belt-Serpentine;170-1138;Compressor & Mtg GP-Refrig;CCR DIST
218-0324;1;;1802;Compressor GP-Refrigerant;170-1138;Compressor & Mtg GP-Refrig;CCR DIST
5P-9085;1;;1802;Clip;170-1138;Compressor & Mtg GP-Refrig;CCR DIST
144-5611;1;;1358;Pulley AS-Idler;144-5612;Pulley GP-Idler;CCR DIST
144-8122;1;;1358;Bolt-Special;144-5612;Pulley GP-Idler;CCR DIST
144-8123;1;;1358;Spacer-Special;144-5612;Pulley GP-Idler;CCR DIST
7E-6016;1;;1380;Gasket;112-6014;Connection GP-Water;CCR EN&CA
8T-9655;8;;1901;Mount-Isolation;112-6005;Control & Mtg GP-Engine Elek;CCR TU&EL
247-3796;2;;1378;Gasket;2W-6571;Cooler GP-Engine Oil;CCR EN&CA
109-2332;2;;1378;Seal-O-Ring;2W-6571;Cooler GP-Engine Oil;CCR EN&CA
8S-9191;8;;1378;Bolt;2W-6571;Cooler GP-Engine Oil;CCR EN&CA
0R-8316;1;;1378;Core GP-O Clr;2W-6571;Cooler GP-Engine Oil;CCR EN&CA
8L-2786;1;;1378;Seal-O-Ring;2W-6571;Cooler GP-Engine Oil;CCR EN&CA
0R-5529;1;;;;;;CCR EN&CA
272-0758;8;;1210;Seal;393-4968;Cover GP-Camshaft;CCR BLOCK
2W-0752;1;;1201;Gasket;119-6285;Cover GP-Cylinder Block;CCR BLOCK
7N-4945;3;;1201;Gasket;119-6285;Cover GP-Cylinder Block;CCR BLOCK
272-0759;8;;1201;Seal;119-6285;Cover GP-Cylinder Block;CCR BLOCK
9X-8872;32;;1201;Bolt-Locking;119-6285;Cover GP-Cylinder Block;CCR BLOCK
1W-4954;1;;1157;Gasket-Cover;112-6019;Cover GP-Flywheel Housing;CCR DIST
4B-8407;3;;1157;Gasket-Copper;112-6019;Cover GP-Flywheel Housing;CCR DIST
7N-4320;2;;1157;Gasket;112-6019;Cover GP-Flywheel Housing;CCR DIST
9L-2662;1;;1157;Gasket;112-6019;Cover GP-Flywheel Housing;CCR DIST
234-8937;1;;1157;Seal-Integral;112-6019;Cover GP-Flywheel Housing;CCR DIST
3D-0490;4;;1157;Stud-Taperlock;112-6019;Cover GP-Flywheel Housing;CCR DIST
3F-5792;1;;1157;Seal-O-Ring;112-6019;Cover GP-Flywheel Housing;CCR DIST
235-3546;1;;1151;Seal-O-Ring;163-1472;Cover GP-Front Housing;CCR DIST
6V-3348;1;;1151;Seal-O-Ring;163-1472;Cover GP-Front Housing;CCR DIST
259-4598;1;;1151;Seal-O-Ring;163-1472;Cover GP-Front Housing;CCR DIST
5P-0840;1;;1151;Seal-O-Ring;163-1472;Cover GP-Front Housing;CCR DIST
8N-9885;1;;1151;Gasket-Cover;163-1472;Cover GP-Front Housing;CCR DIST
3P-1896;2;;1151;Plug-Cup;163-1472;Cover GP-Front Housing;CCR DIST
8N-9885;1;;1151;Gasket-Cover;382-5106;Cover GP-Front Housing;CCR DIST
235-3546;1;;1151;Seal-O-Ring;383-7525;Cover GP-Front Housing;CCR DIST
259-4598;1;;1151;Seal-O-Ring;383-7525;Cover GP-Front Housing;CCR DIST
5P-0840;1;;1151;Seal-O-Ring;383-7525;Cover GP-Front Housing;CCR DIST
6V-3348;1;;1151;Seal-O-Ring;383-7525;Cover GP-Front Housing;CCR DIST
272-0760;8;;1107;Seal-Valve Cover;101-0831;Cover GP-Valve Mechanism;CCR DIST
7C-6209;2;;1202;Plate-Thrust;101-0336;Crankshaft GP;CCR BLOCK
7X-4805;3;;1201;Seal-O-Ring;237-7957;Cylinder Block GP;CCR BLOCK
101-1198;10;;1201;Bearing-Camshaft;237-7957;Cylinder Block GP;CCR BLOCK
5P-0840;16;;1201;Seal-O-Ring;237-7957;Cylinder Block GP;CCR BLOCK
5F-9657;4;;1201;Seal-O-Ring;237-7957;Cylinder Block GP;CCR BLOCK
5P-8210;2;;1201;Seal-O-Ring;237-7957;Cylinder Block GP;CCR BLOCK
6V-3348;8;;1201;Seal-O-Ring;237-7957;Cylinder Block GP;CCR BLOCK
153-4906;6;;1201;Seal-O-Ring;237-7957;Cylinder Block GP;CCR BLOCK
144-5692;8;;1201;Gasket-Plate;350-5217;Cylinder Block GP;CCR EN.CLT
214-7568;6;;1201;Seal-O-Ring;350-5217;Cylinder Block GP;CCR BLOCK
362-8264;1;;1100;Gasket-Cylinder Head;350-4386;Cylinder Head GP;CCR EN.CLT
420-0652;32;;1100;Seal AS-Water;350-4386;Cylinder Head GP;CCR EN.CLT
420-0653;32;;1100;Seal AS-Water;350-4386;Cylinder Head GP;CCR EN.CLT
127-5400;1;;1207;Bushing;161-1540;Drive GP-Accessory;CCR DIST
5R-7136;1;;1207;Washer-Sealing;161-1540;Drive GP-Accessory;CCR DIST
5R-7137;2;;1207;Washer-Sealing;161-1540;Drive GP-Accessory;CCR DIST
7C-3258;1;;1207;Washer AS-Thrust;161-1540;Drive GP-Accessory;CCR DIST
7N-7539;2;;1207;Washer-Thrust;161-1540;Drive GP-Accessory;CCR DIST
116-1365;1;;1207;Bushing;161-1540;Drive GP-Accessory;CCR DIST
259-4598;2;;1207;Seal-O-Ring;161-1540;Drive GP-Accessory;CCR DIST
5P-0840;1;;1207;Seal-O-Ring;161-1540;Drive GP-Accessory;CCR DIST
2W-0556;1;;1207;Gasket;161-1540;Drive GP-Accessory;CCR DIST
7N-7539;2;;1207;Washer-Thrust;4P-0853;Drive GP-Accessory;CCR DIST
259-4598;1;;1207;Seal-O-Ring;4P-0853;Drive GP-Accessory;CCR DIST
6V-3348;1;;1207;Seal-O-Ring;4P-0853;Drive GP-Accessory;CCR DIST
5P-0840;1;;1207;Seal-O-Ring;4P-0853;Drive GP-Accessory;CCR DIST
235-3546;1;;1207;Seal-O-Ring;4P-0853;Drive GP-Accessory;CCR DIST
127-5400;2;;1207;Bushing;4P-0853;Drive GP-Accessory;CCR DIST
5R-7136;4;;1207;Washer-Sealing;112-6035;Drive GP-Accessory;CCR DIST
280-3313;1;;1207;Sleeve;112-6035;Drive GP-Accessory;CCR DIST
235-2484;1;;1207;Seal-Lip Type;112-6035;Drive GP-Accessory;CCR DIST
9X-7371;1;;1207;Seal-O-Ring;112-6035;Drive GP-Accessory;CCR DIST
569-7729;1;;1160;Seal-Crankshaft;332-7911;Seal GP-Crankshaft;CCR BLOCK
569-7728;1;;1160;Seal-Crankshaft;332-7911;Seal GP-Crankshaft;CCR BLOCK
262-6104;1;;1316;Cap AS-Engine Oil Filler;112-6033;Filler GP-Engine Oil;CCR M&B
031-4155;1;;1316;Locknut;112-6033;Filler GP-Engine Oil;CCR M&B
1P-1367;2;;1306;Plunger;1W-0714;Filter GP-Engine Oil;CCR EN&CA
244-4484;3;;1306;Filter-Engine Oil;1W-0714;Filter GP-Engine Oil;CCR EN&CA
7G-6713;2;;1306;Spring-Main;1W-0714;Filter GP-Engine Oil;CCR EN&CA
8C-3445;1;;1306;Cap-Dust;1W-0714;Filter GP-Engine Oil;CCR EN&CA
8C-3446;1;;1306;Valve-Sampling;1W-0714;Filter GP-Engine Oil;CCR EN&CA
9S-9272;1;;1306;Cap AS;1W-0714;Filter GP-Engine Oil;CCR EN&CA
9Y-8387;2;;1306;Gasket;1W-0714;Filter GP-Engine Oil;CCR EN&CA
9Y-8388;2;;1306;Gasket;1W-0714;Filter GP-Engine Oil;CCR EN&CA
2M-9780;1;;1306;Seal-O-Ring;1W-0714;Filter GP-Engine Oil;CCR EN&CA
3J-7354;1;;1306;Seal-O-Ring;1W-0714;Filter GP-Engine Oil;CCR EN&CA
6V-5048;1;;1306;Seal-O-Ring;1W-0714;Filter GP-Engine Oil;CCR EN&CA
1L-3769;1;;1261;Ring-Retaining;112-6025;Filter GP-Fuel;CCR EN&CA
1R-0755;2;;1261;Filter-Fuel;112-6025;Filter GP-Fuel;CCR EN&CA
7L-6326;1;;1261;Clip;112-6025;Filter GP-Fuel;CCR EN&CA
7S-9323;1;;1261;Spring;112-6025;Filter GP-Fuel;CCR EN&CA
9M-2342;1;;1261;Filter Element-Fuel;112-6025;Filter GP-Fuel;CCR EN&CA
2H-3429;1;;1261;Ring-Retaining;112-6025;Filter GP-Fuel;CCR EN&CA
2K-8198;2;;1261;Seal-O-Ring;112-6025;Filter GP-Fuel;CCR EN&CA
3J-1907;3;;1261;Seal-O-Ring;112-6025;Filter GP-Fuel;CCR EN&CA
3K-0360;4;;1261;Seal-O-Ring;112-6025;Filter GP-Fuel;CCR EN&CA
5H-8038;1;;1261;Seal-O-Ring;112-6025;Filter GP-Fuel;CCR EN&CA
6V-0871;1;;1261;Grommet;112-6025;Filter GP-Fuel;CCR EN&CA
238-5081;1;;1261;Seal-O-Ring;112-6025;Filter GP-Fuel;CCR EN&CA
228-7091;1;;1261;Seal-O-Ring;112-6025;Filter GP-Fuel;CCR EN&CA
8H-2778;1;;1261;Seal-Ring;112-6025;Filter GP-Fuel;CCR EN&CA
6V-0852;1;;7542;Cap-Dust;445-8601;Valve GP-Fluid Sampling;CCR DESARME
180-3007;1;;1317;Clamp-Hose;112-6001;Fumes Disposal GP;CCR DESARME
4F-3765;4;;1326;Gasket-Shaft;119-6317;Gauge GP-Oil Level (Dipstick); CCR EN&CA
4P-0707;2;;1326;Clamp AS;119-6317;Gauge GP-Oil Level (Dipstick); CCR EN&CA
122-3177;1;;1326;Gauge AS-Oil Level;119-6317;Gauge GP-Oil Level (Dipstick); CCR EN&CA
3M-0496;1;;1326;Stud-Taperlock;119-6317;Gauge GP-Oil Level (Dipstick); CCR EN&CA
6V-3348;1;;1151;Seal-O-Ring;8N-7174;Gear GP-Front;CCR DIST
235-3546;1;;1151;Seal-O-Ring;8N-7174;Gear GP-Front;CCR DIST
259-4598;2;;1151;Seal-O-Ring;8N-7174;Gear GP-Front;CCR DIST
7N-5246;2;;1151;Washer-Thrust;8N-7174;Gear GP-Front;CCR DIST
