Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;r120ceMFL;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
1B-3867;2;;1313;BALL BEARING;133-9907;ADAPTER GP-PUMP DRIVE;CCR DESAR
1H-8647;1;;1313;RING-SNAP;133-9907;ADAPTER GP-PUMP DRIVE;CCR DESAR
6N-8744;4;;1405;MOUNT;461-3111;ALTERNATOR GP-CHARGING;CCR DESAR
7X-0578;8;;1405;WASHER-HARD (10.2X32X2.5-MM THK);461-3111;ALTERNATOR GP-CHARGING;CCR DESAR
8T-4121;4;;1405;WASHER-HARD (11X21X2.5-MM THK);461-3111;ALTERNATOR GP-CHARGING;CCR DESAR
8S-9191;2;;1306;BOLT (3/8-16X4-IN);352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
165-3925;1;;1306;BOLT (3/8-16X5.75-IN);352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
392-9208;1;;1306;PLUNGER-VALVE (RELIEF);352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
113-5304;2;;1306;SEAL-O-RING;352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
214-7568;1;;1306;SEAL-O-RING;352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
228-7093;1;;1306;SEAL-O-RING;352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
228-7094;1;;1306;SEAL-O-RING;352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
228-7096;1;;1306;SEAL-O-RING;352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
238-5081;1;;1306;SEAL-O-RING;352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
238-5084;2;;1306;SEAL-O-RING;352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
8C-5230;2;;1306;SEAL-O-RING;352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
4N-8150;1;;1306;SPRING;352-8801;BASE GP-OIL COOLER & FILTER;CCR DESAR
9L-8925;15;;1120;BOLT (5/16-18X1.25-IN);349-5296;BASE GP-VALVE COVER;CCR DESAR
272-0390;1;;1120;SEAL;349-5296;BASE GP-VALVE COVER;CCR DESAR
350-5812;1;;1397;BELT-SERPENTINE;460-4855;BELT GP-SERPENTINE;CCR DESAR
109-0077;1;;1374;SEAL-O-RING;341-4966;BONNET GP-OIL COOLER;CCR DESAR
6V-5063;1;;1374;SEAL-O-RING;341-4966;BONNET GP-OIL COOLER;CCR DESAR
6V-6609;1;;1374;SEAL-O-RING;341-4966;BONNET GP-OIL COOLER;CCR DESAR
6V-1197;1;;1210;SEAL-O-RING;314-9614;CAMSHAFT GP;CCR DESAR
132-5789;1;;1802;CLIP (LADDER);381-3566;COMPRESSOR GP-REFRIGERANT;CCR TU&EL
7K-1181;1;;1802;STRAP-CABLE;381-3566;COMPRESSOR GP-REFRIGERANT;CCR TU&EL
232-1693;1;;1901;BOLT-FLANGE HEAD (M6X1X35-MM);397-9345;CONTROL & MTG GP-ENGINE ELEK;CCR DESAR
8T-9655;8;;1901;MOUNT-ISOLATION;397-9345;CONTROL & MTG GP-ENGINE ELEK;CCR DESAR
5L-3708;2;;1901;STUD-TAPERLOCK (5/16-18X1.28-IN);397-9345;CONTROL & MTG GP-ENGINE ELEK;CCR DESAR
109-0077;1;;1378;SEAL-O-RING;422-2064;COOLER GP-ENGINE OIL;CCR DESAR
6V-3250;1;;1378;SEAL-O-RING;422-2064;COOLER GP-ENGINE OIL;CCR DESAR
4N-0699;1;;1201;GASKET;107-6736;COVER GP-CYLINDER BLOCK;CCR DESAR
4N-0699;1;;1201;GASKET;107-6737;COVER GP-CYLINDER BLOCK;CCR DESAR
126-4935;1;;1201;SEAL-INTEGRAL;140-9746;COVER GP-CYLINDER BLOCK;CCR DESAR
6V-8676;1;;1000;SEAL-O-RING;338-1575;COVER GP-ENGINE;CCR DESAR
031-4155;2;;1150;LOCKNUT (5/16-18-THD)(MARKED X);159-6159;COVER GP-FRONT HOUSING;CCR DESAR
297-1813;12;;1150;SCREW-HEAD (5/16-18X1-IN);159-6159;COVER GP-FRONT HOUSING;CCR DESAR
160-7271;1;;1150;SEAL;159-6159;COVER GP-FRONT HOUSING;CCR DESAR
238-5078;2;;1150;SEAL-O-RING (MARKED X);159-6159;COVER GP-FRONT HOUSING;CCR DESAR
061-9455;1;;1150;SEAL-O-RING;120-9847;COVER GP-FRONT HOUSING -OIL FILLER;CCR DESAR
2W-6225;1;;1107;CAP AS-OIL FILLER (ENGINE);150-3139;COVER GP-VALVE MECHANISM;CCR DESAR
243-1159;6;;1107;FASTENER AS;150-3135;COVER GP-VALVE MECHANISM;CCR DESAR
243-1159;6;;1107;FASTENER AS;150-3139;COVER GP-VALVE MECHANISM;CCR DESAR
243-1159;6;;1107;FASTENER AS;341-6804;COVER GP-VALVE MECHANISM;CCR DESAR
